Pirai,,Rurrenabaque,,portachuelo2estrellas,
547.1854108,995.6743438,571.1412883,817.7472043,856.1835997,1625.490306
547.9281902,996.7483438,572.2441841,819.2568043,857.7406708,1625.523041
548.6709697,996.9423438,573.2548026,828.9586843,859.2813596,1625.766729
549.3862934,996.9423438,574.3138925,837.7445943,860.8049213,1626.183218
550.1949193,1003.477344,575.6858855,842.4404243,862.3121006,1626.458743
550.8825687,1003.477344,576.9282777,843.6037543,863.8021529,1627.644521
551.570218,1004.291344,578.6149296,845.3818032,865.2758228,1628.257636
552.2578674,1004.291344,580.0019134,847.7068072,866.7323657,1628.957137
552.9455167,1004.291344,581.1697078,851.6163432,868.1717815,1630.49243
553.5829276,1004.291344,582.1625854,855.8597912,869.594815,1631.670953
554.2290755,1004.291344,583.1672616,858.1917932,871.0007214,1635.229659
554.9167249,1004.291344,584.7272224,860.8300832,872.3902454,1635.695176
555.5672414,1004.291344,585.9975949,863.2053332,873.7626424,1636.177277
556.202468,1004.291344,587.0383055,863.6944292,875.1179124,1636.781638
556.9049151,1004.291344,588.0194826,866.8357392,876.4567999,1637.223478
558.349229,1013.171344,588.9548772,868.9134292,877.7785604,1638.36613
559.9832371,1034.497344,589.8515363,869.3188811,879.0839386,1640.548238
565.0435998,1054.484344,590.7869309,869.5038047,880.3721897,1641.349746
566.1921706,1068.439344,591.8035162,869.5709463,881.6433138,1643.009316
567.0824353,1076.135344,592.7166272,873.9078863,882.8980555,1643.454642
567.900629,1076.135344,593.5496891,878.1343763,884.1356701,1643.629485
568.6843184,1076.135344,594.3724872,884.3740163,885.3569024,1643.791431
569.3857503,1076.135344,595.3831057,885.7016023,886.5610076,1644.302573
569.9837381,1076.135344,596.4360445,885.9447342,887.7479858,1644.302573
571.6766672,1076.135344,597.9960053,887.3948302,888.9185816,1644.303689
573.1213195,1096.428344,599.1571822,888.7200772,890.0720503,1644.564299
574.8368366,1107.260344,600.1267572,891.7581392,891.2091367,1645.813672
577.2818018,1118.294344,601.0179897,892.1877612,892.3290961,1645.885935
578.5433947,1131.204344,601.9146489,893.8411511,893.4319284,1645.885935
579.3292206,1131.204344,602.9372256,894.0273021,894.5183783,1646.059654
579.9851825,1135.162344,603.9478441,895.4880161,895.5877012,1646.080425
580.7072882,1135.162344,604.9002184,898.2267841,896.6406417,1646.702508
581.3949375,1135.162344,605.7332804,906.3583941,897.6764551,1647.775568
582.0825869,1136.007344,606.7800928,914.1221341,898.6951416,1649.399244
582.7658677,1136.007344,608.0434304,930.8417341,899.6974456,1654.698184
583.4010942,1136.007344,610.6779875,932.6988881,900.6826226,1659.774258
583.935372,1136.007344,612.4712935,934.1557141,901.6514172,1667.032268
584.5635056,1136.007344,615.0462313,934.6842258,902.6030848,1672.94116
586.4288461,1143.438344,616.9321217,938.9757058,903.53837,1674.88613
587.6902647,1167.430344,618.4274417,946.1341658,904.4565282,1675.271992
588.554824,1169.147344,619.7479063,949.4755718,905.3575593,1676.076287
589.2544031,1169.147344,621.7494502,950.9852858,906.242208,1676.076317
589.8896297,1169.147344,623.8006687,958.8720688,907.1097297,1676.120708
590.5248562,1169.147344,625.8418811,959.191036,907.960869,1677.294301
591.1102852,1169.147344,629.4643435,959.6490618,908.7948813,1677.759565
591.672046,1169.147344,631.7125782,960.0869538,909.6117665,1678.501292
592.2001094,1169.147344,633.4968113,960.2095326,910.4122694,1678.567267
593.4253762,1178.102344,635.0404185,961.1708011,911.1956452,1678.997022
594.3408576,1192.808344,636.4425159,962.9826771,911.9626386,1679.633668
594.9984876,1193.764344,637.837038,963.0898341,912.7139944,1679.812508
595.5839166,1193.764344,639.1502589,963.2081941,913.4579035,1680.094875
596.1693456,1193.764344,640.544781,964.1930481,914.1966001,1683.693381
596.723217,1193.764344,641.7664858,975.7875881,914.9293395,1686.737371
597.2575768,1193.778344,642.8950046,985.2704381,915.6561216,1690.752071
597.7508762,1193.778344,644.1167093,986.2597121,916.3776911,1694.764177
598.2441756,1193.778344,647.1433469,987.1368571,917.0933035,1695.634344
598.7110175,1193.778344,649.0292372,987.4999372,917.8029585,1695.682359
599.1619849,1193.778344,650.6139494,987.9115727,918.5074011,1695.718082
599.586317,1193.778344,652.0009332,994.1687127,919.2058863,1695.74574
599.9973315,1193.778344,653.2433254,995.2835847,919.899159,1695.748094
600.4083459,1193.778344,654.585693,1003.931525,920.5864745,1695.974158
600.8052395,1193.778344,656.0889811,1015.299115,921.2678328,1695.987694
601.1785981,1193.778344,658.22155,1015.454433,921.9439784,1696.359657
601.5519568,1193.778344,663.1459747,1015.77992,922.6141669,1696.438478
602.1771678,1195.452344,665.9276648,1016.971366,923.2783981,1696.470534
602.6422458,1208.455344,667.8041384,1025.998396,923.9374167,1697.086023
603.094977,1208.455344,669.4307658,1027.333702,924.5904781,1697.11997
603.6528136,1211.175344,671.0489463,1027.526483,925.2375823,1699.651172
604.1161278,1215.347344,672.944278,1027.84576,925.8794739,1703.785167
604.5454541,1215.347344,674.4237478,1030.485374,926.5154082,1703.890337
605.0800634,1215.347344,675.7297495,1035.079367,927.1453854,1703.937889
606.0077037,1224.321344,676.9583173,1036.25832,927.7701499,1704.019147
606.4611288,1224.871344,678.2428581,1036.356709,928.3889572,1704.03087
606.8533154,1224.871344,679.4441331,1036.378044,929.0018073,1704.77292
607.2486399,1224.871344,680.5597852,1036.658545,929.6094448,1704.854136
607.6219986,1224.871344,681.6312508,1036.768149,930.2111251,1705.119832
607.9953572,1224.871344,682.6598434,1036.830703,930.8068482,1707.085723
608.3539489,1224.871344,683.6294184,1037.6782,931.3973587,1707.555956
608.6918668,1224.871344,684.5648129,1038.988729,931.9819119,1707.657722
609.0297846,1224.871344,685.4724236,1041.857251,932.5605079,1707.657722
609.3677025,1224.871344,686.3800343,1044.992453,933.1338914,1707.848557
609.7189107,1224.871344,687.3438511,1050.738373,933.7013176,1708.692994
610.0922694,1228.708344,688.307668,1054.948513,934.2627866,1715.614247
610.465628,1228.708344,689.3853704,1061.754543,934.819043,1716.865737
611.9525337,1228.708344,690.5531649,1065.589273,935.3693421,1717.288397
612.7009226,1251.062344,691.6061037,1071.286033,935.9144287,1719.521768
613.2238038,1251.062344,693.9633746,1073.680808,936.4535581,1723.722598
613.7972107,1253.314344,696.0246361,1074.800509,936.9867302,1736.12836
614.4085674,1254.054344,697.3451006,1075.307529,937.5146898,1737.179452
618.9228011,1281.758344,698.4353507,1075.721178,938.0366921,1737.222293
620.2957549,1295.559344,699.4165278,1080.067378,938.5527372,1738.28872
621.0380147,1295.559344,700.3575577,1088.876888,939.0635697,1738.333401
621.6674541,1295.559344,701.5253522,1089.074558,939.568445,1738.46654
622.3433378,1298.513344,703.904882,1089.644192,940.0673631,1740.466604
622.9791112,1298.947344,705.6353889,1097.160542,940.5610686,1742.582383
623.5749147,1300.897344,706.8917161,1099.36864,941.0488168,1743.729986
624.0890623,1300.897344,707.9631816,1102.46645,941.5306078,1748.216246
624.55091,1300.897344,709.0161205,1104.83862,942.0071863,1749.86372
624.9892503,1300.897344,710.8185242,1109.32862,942.4778075,1751.187305
625.3507953,1311.749344,712.0888967,1112.13656,942.9424715,1752.644643
625.6859444,1312.499344,713.3037629,1117.3458,943.4019229,1755.516113
625.9673786,1312.499344,714.4982853,1120.15435,943.855417,1759.794303
628.0896578,1312.499344,715.789947,1126.15742,944.302954,1764.247963
628.8151749,1331.510344,717.7234125,1129.99158,944.7452784,1771.253283
629.4787971,1331.510344,719.5625871,1137.88964,945.1816455,1784.521443
630.1681283,1331.510344,722.8071986,1140.924026,945.6120554,1788.253017
630.9146371,1334.047344,724.8785398,1141.642714,946.0372527,1790.633772
632.2968476,1343.077344,727.5130969,1142.611369,946.4564928,1794.846738
640.1089221,1366.303344,729.3801905,1143.256499,946.8697757,1807.389018
646.4913916,1413.082344,730.8834786,1147.300209,947.277846,1814.306645
648.6431638,1417.135344,732.2332126,1151.128127,947.6799591,1817.620765
650.0947586,1417.135344,733.4412648,1158.115381,948.0768595,1819.913854
651.4486726,1417.505344,734.8739453,1164.448881,948.4730154,1822.8835
652.7579574,1417.879344,736.551917,1166.493287,948.901936,1826.609256
654.0502875,1417.879344,738.000067,1168.462112,949.3688339,1836.618485
656.3067617,1420.406344,739.6780387,1173.266612,949.8744539,1840.497255
669.7822424,1466.660344,741.1261888,1184.415622,950.4180512,1842.905547
671.5824577,1476.924344,742.4321905,1187.467886,950.9996258,1847.107982
672.4835858,1476.924344,743.6745827,1191.265956,951.6191778,1851.935503
673.0947613,1476.924344,745.0169502,1196.321208,952.2774517,1858.050393
673.6328539,1476.924344,746.6267084,1198.133518,952.9737031,1871.001813
674.1358954,1476.945344,748.0288057,1200.678918,953.7079317,1885.720583
674.5868628,1476.945344,749.8221118,1202.072356,954.4801377,1890.481003
675.0849341,1476.945344,751.2780458,1210.112166,955.2903211,1895.430873
676.9252938,1494.852344,752.7184488,1225.199986,956.1392264,1903.456783
677.5557279,1495.784344,754.2137688,1244.407826,957.0261091,1918.695783
678.2985073,1498.602344,755.8068051,1258.865406,957.9509692,1922.433485
679.067758,1500.233344,757.5284722,1276.944906,958.9138066,1926.381744
680.2995777,1504.601344,759.4715632,1288.729806,959.915366,1927.556692
681.0129393,1508.013344,762.5382375,1310.805306,960.9549027,1929.950968
681.6678245,1508.182344,766.9216809,1323.549646,962.0324168,1938.518778
682.303051,1508.346344,770.7443885,1331.159466,963.1479082,1944.660609
682.9237533,1508.716344,775.3210544,1353.046166,964.3021216,1951.368269
683.4743158,1508.716344,779.6356826,1359.746456,965.4943124,1962.693289
684.0281872,1508.716344,783.3959593,1395.183256,966.7244805,1971.897359
684.6509643,1511.460344,788.7258961,1415.067556,967.9926259,1978.026089
685.2363933,1511.716344,792.9052022,1444.388556,969.2994934,1981.527909
685.8020988,1511.716344,796.7122315,1459.897966,970.6443382,1984.964797
686.3401914,1511.878344,801.8850291,1466.457536,972.0271603,2001.345397
686.878284,1511.878344,808.6172105,1470.730116,973.4479598,2021.209617
687.4163766,1511.878344,813.5792902,1473.295486,974.9074813,2028.112657
688.104026,1514.646344,818.2638381,1476.045096,976.4049801,2032.717237
688.7414368,1516.382344,822.1815608,1503.999896,977.9404563,2041.203497
689.6565217,1516.569344,825.7589035,1520.898196,979.5139098,2042.923397
690.3533594,1523.105344,829.003515,1523.476756,981.1260853,2047.803397
691.1344818,1526.054344,834.8671525,1527.433586,982.7762382,2050.958886
